EVENT,BOUT,URL
UFC Fight Night: Holloway vs. The Korean Zombie,Rolando Bedoya vs. Billy Goff,http://ufcstats.com/fight-details/977250a28d3b8a3f
UFC Fight Night: Holloway vs. The Korean Zombie,Yusaku Kinoshita vs. JJ Aldrich,http://ufcstats.com/fight-details/23865dfc8361ac62
UFC Fight Night: Holloway vs. The Korean Zombie,Liang Na vs. SeungWoo Choi,http://ufcstats.com/fight-details/b65b37c0e00074d9
UFC 292: Sterling vs. O'Malley,Sean O'Malley vs. Aljamain Sterling,http://ufcstats.com/fight-details/ee796ecb4ee8680b
UFC 292: Sterling vs. O'Malley,Zhang Weili vs. Amanda Lemos,http://ufcstats.com/fight-details/845e38dfbfea6e53
UFC 292: Sterling vs. O'Malley,Ian Garry vs. Neil Magny,http://ufcstats.com/fight-details/78d2c01dc963f204
UFC 292: Sterling vs. O'Malley,Mario Bautista vs. Da'Mon Blackshear,http://ufcstats.com/fight-details/fd4d30036a3f3efb
UFC 292: Sterling vs. O'Malley,Marlon Vera vs. Pedro Munhoz,http://ufcstats.com/fight-details/621e6f0929a3dbfc
UFC 292: Sterling vs. O'Malley,Brad Tavares vs. Chris Weidman,http://ufcstats.com/fight-details/1a95cc401f68f4c8
UFC 292: Sterling vs. O'Malley,Gregory Rodrigues vs. Denis Tiuliulin,http://ufcstats.com/fight-details/f995ed679ef8bdf4
UFC 292: Sterling vs. O'Malley,Kurt Holobaugh vs. Austin Hubbard,http://ufcstats.com/fight-details/62d53ad8f8769666
UFC 292: Sterling vs. O'Malley,Brad Katona vs. Cody Gibson,http://ufcstats.com/fight-details/e9754f597ec50f6f
UFC 292: Sterling vs. O'Malley,Andre Petroski vs. Gerald Meerschaert,http://ufcstats.com/fight-details/9f7c28381b6913c8
UFC 292: Sterling vs. O'Malley,Natalia Silva vs. Andrea Lee,http://ufcstats.com/fight-details/8c7b5b21b3532027
UFC 292: Sterling vs. O'Malley,Karine Silva vs. Maryna Moroz,http://ufcstats.com/fight-details/f329bd89e375d6df
UFC Fight Night: Luque vs. Dos Anjos,Vicente Luque vs. Rafael Dos Anjos,http://ufcstats.com/fight-details/e346f2b7af63e804
UFC Fight Night: Luque vs. Dos Anjos,Cub Swanson vs. Hakeem Dawodu,http://ufcstats.com/fight-details/1b1fd32485861655
UFC Fight Night: Luque vs. Dos Anjos,Khalil Rountree Jr. vs. Chris Daukaus,http://ufcstats.com/fight-details/c57a4810c932b296
UFC Fight Night: Luque vs. Dos Anjos,Iasmin Lucindo vs. Polyana Viana,http://ufcstats.com/fight-details/c2f730cb33df5221
UFC Fight Night: Luque vs. Dos Anjos,AJ Dobson vs. Tafon Nchukwi,http://ufcstats.com/fight-details/560a971c6ab8b854
UFC Fight Night: Luque vs. Dos Anjos,Josh Fremd vs. Jamie Pickett,http://ufcstats.com/fight-details/9a9479663bedf8b4
UFC Fight Night: Luque vs. Dos Anjos,Marcus McGhee vs. JP Buys,http://ufcstats.com/fight-details/2c160a1d1fdbf0b0
UFC Fight Night: Luque vs. Dos Anjos,Terrance McKinney vs. Mike Breeden,http://ufcstats.com/fight-details/9576d9cba5cf5c4e
UFC Fight Night: Luque vs. Dos Anjos,Isaac Dulgarian vs. Francis Marshall,http://ufcstats.com/fight-details/9479ba3cdcb1e513
UFC Fight Night: Luque vs. Dos Anjos,Martin Buday vs. Josh Parisian,http://ufcstats.com/fight-details/d5929b7fbc801ce4
UFC Fight Night: Luque vs. Dos Anjos,Jaqueline Amorim vs. Montserrat Conejo Ruiz,http://ufcstats.com/fight-details/ca2aa660bea0cb60
UFC Fight Night: Luque vs. Dos Anjos,Da'Mon Blackshear vs. Jose Johnson,http://ufcstats.com/fight-details/91a5480f48bfaa71
UFC Fight Night: Luque vs. Dos Anjos,Luana Santos vs. Juliana Miller,http://ufcstats.com/fight-details/e3573545220ca4ea
UFC Fight Night: Sandhagen vs. Font,Cory Sandhagen vs. Rob Font,http://ufcstats.com/fight-details/554163b1c8c05522
UFC Fight Night: Sandhagen vs. Font,Tatiana Suarez vs. Jessica Andrade,http://ufcstats.com/fight-details/ec2358459ffbe7de
UFC Fight Night: Sandhagen vs. Font,Dustin Jacoby vs. Kennedy Nzechukwu,http://ufcstats.com/fight-details/2c54be25b09fce50
UFC Fight Night: Sandhagen vs. Font,Diego Lopes vs. Gavin Tucker,http://ufcstats.com/fight-details/79bfba62da6242a6
UFC Fight Night: Sandhagen vs. Font,Tanner Boser vs. Aleksa Camur,http://ufcstats.com/fight-details/2c0496a5f39ab8a4
UFC Fight Night: Sandhagen vs. Font,Ludovit Klein vs. Ignacio Bahamondes,http://ufcstats.com/fight-details/531ce3d8011fa1f6
UFC Fight Night: Sandhagen vs. Font,Kyler Phillips vs. Raoni Barcelos,http://ufcstats.com/fight-details/e5cb9dfc1189d77d
UFC Fight Night: Sandhagen vs. Font,Carlston Harris vs. Jeremiah Wells,http://ufcstats.com/fight-details/bda7992779a005fa
UFC Fight Night: Sandhagen vs. Font,Billy Quarantillo vs. Damon Jackson,http://ufcstats.com/fight-details/1b0d5e65fdfc62cf
UFC Fight Night: Sandhagen vs. Font,Cody Durden vs. Jake Hadley,http://ufcstats.com/fight-details/38901948cff43ff9
UFC Fight Night: Sandhagen vs. Font,Sean Woodson vs. Dennis Buzukja,http://ufcstats.com/fight-details/436a1ce6b0c6b4bb
UFC Fight Night: Sandhagen vs. Font,Assu Almabayev vs. Ode Osbourne,http://ufcstats.com/fight-details/6b5c225814a924ed
UFC 291: Poirier vs. Gaethje 2,Justin Gaethje vs. Dustin Poirier,http://ufcstats.com/fight-details/c27e33ee8ef53866
UFC 291: Poirier vs. Gaethje 2,Alex Pereira vs. Jan Blachowicz,http://ufcstats.com/fight-details/800a35b3a7e52308
UFC 291: Poirier vs. Gaethje 2,Derrick Lewis vs. Marcos Rogerio de Lima,http://ufcstats.com/fight-details/eff6ec2b2f1fb27b
UFC 291: Poirier vs. Gaethje 2,Bobby Green vs. Tony Ferguson,http://ufcstats.com/fight-details/f1eca70738ca073e
UFC 291: Poirier vs. Gaethje 2,Kevin Holland vs. Michael Chiesa,http://ufcstats.com/fight-details/cbf1e76186a0c8b3
UFC 291: Poirier vs. Gaethje 2,Gabriel Bonfim vs. Trevin Giles,http://ufcstats.com/fight-details/4327fe98e1b6f222
UFC 291: Poirier vs. Gaethje 2,CJ Vergara vs. Vinicius Salvador,http://ufcstats.com/fight-details/e5ac7343b6d45188
UFC 291: Poirier vs. Gaethje 2,Roman Kopylov vs. Claudio Ribeiro,http://ufcstats.com/fight-details/5116f9398bfca446
UFC 291: Poirier vs. Gaethje 2,Jake Matthews vs. Darrius Flowers,http://ufcstats.com/fight-details/7a8f218c07347c88
UFC 291: Poirier vs. Gaethje 2,Uros Medic vs. Matthew Semelsberger,http://ufcstats.com/fight-details/3de326b65aa6245d
UFC 291: Poirier vs. Gaethje 2,Miranda Maverick vs. Priscila Cachoeira,http://ufcstats.com/fight-details/74fef059e229d217
UFC Fight Night: Aspinall vs. Tybura,Tom Aspinall vs. Marcin Tybura,http://ufcstats.com/fight-details/90e46589a18064bc
UFC Fight Night: Aspinall vs. Tybura,Julija Stoliarenko vs. Molly McCann,http://ufcstats.com/fight-details/743a04674ab72ee0
UFC Fight Night: Aspinall vs. Tybura,Nathaniel Wood vs. Andre Fili,http://ufcstats.com/fight-details/9541cf21e031354c
UFC Fight Night: Aspinall vs. Tybura,Paul Craig vs. Andre Muniz,http://ufcstats.com/fight-details/8104fe27bdc46914
UFC Fight Night: Aspinall vs. Tybura,Fares Ziam vs. Jai Herbert,http://ufcstats.com/fight-details/c4caa8a4f32a0eed
UFC Fight Night: Aspinall vs. Tybura,Lerone Murphy vs. Josh Culibao,http://ufcstats.com/fight-details/3c4305abc2e302d0
UFC Fight Night: Aspinall vs. Tybura,Daniel Marcos vs. Davey Grant,http://ufcstats.com/fight-details/b4e2037f180c1e0e
UFC Fight Night: Aspinall vs. Tybura,Jonny Parsons vs. Danny Roberts,http://ufcstats.com/fight-details/d54ebd2a3435a357
UFC Fight Night: Aspinall vs. Tybura,Joel Alvarez vs. Marc Diakiese,http://ufcstats.com/fight-details/319b96f615a0a154
UFC Fight Night: Aspinall vs. Tybura,Mick Parkin vs. Jamal Pogues,http://ufcstats.com/fight-details/89b96bc5f3e824c5
UFC Fight Night: Aspinall vs. Tybura,Makhmud Muradov vs. Bryan Barberena,http://ufcstats.com/fight-details/8b341eb556c97c23
UFC Fight Night: Aspinall vs. Tybura,Ketlen Vieira vs. Pannie Kianzad,http://ufcstats.com/fight-details/a0bc695b35f155f1
UFC Fight Night: Aspinall vs. Tybura,Chris Duncan vs. Yanal Ashmouz,http://ufcstats.com/fight-details/a8a4c9f98ff73839
UFC Fight Night: Aspinall vs. Tybura,Bruna Brasil vs. Shauna Bannon,http://ufcstats.com/fight-details/c81d1facf185467d
UFC Fight Night: Aspinall vs. Tybura,Jafel Filho vs. Daniel Barez,http://ufcstats.com/fight-details/d918da575ee1bc35
UFC Fight Night: Holm vs. Bueno Silva,Mayra Bueno Silva vs. Holly Holm,http://ufcstats.com/fight-details/73370221b3fa3676
UFC Fight Night: Holm vs. Bueno Silva,Jack Della Maddalena vs. Bassil Hafez,http://ufcstats.com/fight-details/3352c65f3f6d9b2a
UFC Fight Night: Holm vs. Bueno Silva,Francisco Prado vs. Ottman Azaitar,http://ufcstats.com/fight-details/b52dccbe69864d2a
UFC Fight Night: Holm vs. Bueno Silva,JunYong Park vs. Albert Duraev,http://ufcstats.com/fight-details/6adfe44b110c1510
UFC Fight Night: Holm vs. Bueno Silva,Norma Dumont vs. Chelsea Chandler,http://ufcstats.com/fight-details/81b7a6aa147bd912
UFC Fight Night: Holm vs. Bueno Silva,Nazim Sadykhov vs. Terrance McKinney,http://ufcstats.com/fight-details/e4620f3fa451a3a4
UFC Fight Night: Holm vs. Bueno Silva,Melsik Baghdasaryan vs. Tucker Lutz,http://ufcstats.com/fight-details/8362b372adb2f302
UFC Fight Night: Holm vs. Bueno Silva,Viktoriia Dudakova vs. Istela Nunes,http://ufcstats.com/fight-details/eb30c9c975e15436
UFC Fight Night: Holm vs. Bueno Silva,Melquizael Costa vs. Austin Lingo,http://ufcstats.com/fight-details/b4cc389bb4af3707
UFC Fight Night: Holm vs. Bueno Silva,Evan Elder vs. Genaro Valdez,http://ufcstats.com/fight-details/3624f4ae9c1d703e
UFC Fight Night: Holm vs. Bueno Silva,Azat Maksum vs. Tyson Nam,http://ufcstats.com/fight-details/dae80502466c8726
UFC Fight Night: Holm vs. Bueno Silva,Alexander Munoz vs. Carl Deaton,http://ufcstats.com/fight-details/57785c9be5b4526d
UFC Fight Night: Holm vs. Bueno Silva,Ailin Perez vs. Ashlee Evans-Smith,http://ufcstats.com/fight-details/cae7de0873e03947
UFC 290: Volkanovski vs. Rodriguez,Alexander Volkanovski vs. Yair Rodriguez,http://ufcstats.com/fight-details/4b12a4b48755cd6b
UFC 290: Volkanovski vs. Rodriguez,Alexandre Pantoja vs. Brandon Moreno,http://ufcstats.com/fight-details/0f24f3bc1b39ea45
UFC 290: Volkanovski vs. Rodriguez,Dricus Du Plessis vs. Robert Whittaker,http://ufcstats.com/fight-details/4ec5d9bd1442e6c1
UFC 290: Volkanovski vs. Rodriguez,Dan Hooker vs. Jalin Turner,http://ufcstats.com/fight-details/b6ea8880cc7af439
UFC 290: Volkanovski vs. Rodriguez,Bo Nickal vs. Val Woodburn,http://ufcstats.com/fight-details/1ffe6e8df6dbefd2
UFC 290: Volkanovski vs. Rodriguez,Robbie Lawler vs. Niko Price,http://ufcstats.com/fight-details/20d8f6b4b7c8bae7
UFC 290: Volkanovski vs. Rodriguez,Tatsuro Taira vs. Edgar Chairez,http://ufcstats.com/fight-details/d3a9aceeb7e23580
UFC 290: Volkanovski vs. Rodriguez,Denise Gomes vs. Yazmin Jauregui,http://ufcstats.com/fight-details/ef270d8cf29d071b
UFC 290: Volkanovski vs. Rodriguez,Alonzo Menifield vs. Jimmy Crute,http://ufcstats.com/fight-details/6ef12db5b099ec81
UFC 290: Volkanovski vs. Rodriguez,Vitor Petrino vs. Marcin Prachnio,http://ufcstats.com/fight-details/69f67a4a690eb15d
UFC 290: Volkanovski vs. Rodriguez,Cameron Saaiman vs. Terrence Mitchell,http://ufcstats.com/fight-details/dbf8a4b0870a47d1
UFC 290: Volkanovski vs. Rodriguez,Jesus Aguilar vs. Shannon Ross,http://ufcstats.com/fight-details/420f7e6530dbc727
UFC 290: Volkanovski vs. Rodriguez,Esteban Ribovics vs. Kamuela Kirk,http://ufcstats.com/fight-details/5b71958ee063a6e8
UFC Fight Night: Strickland vs. Magomedov,Sean Strickland vs. Abus Magomedov,http://ufcstats.com/fight-details/f557405652165aa3
UFC Fight Night: Strickland vs. Magomedov,Grant Dawson vs. Damir Ismagulov,http://ufcstats.com/fight-details/4dc5a41f357a7d85
UFC Fight Night: Strickland vs. Magomedov,Michael Morales vs. Max Griffin,http://ufcstats.com/fight-details/0548a24a9bf8d7a0
UFC Fight Night: Strickland vs. Magomedov,Ariane Lipski vs. Melissa Gatto,http://ufcstats.com/fight-details/ea29714dcfb07ce2
UFC Fight Night: Strickland vs. Magomedov,Benoit Saint Denis vs. Ismael Bonfim,http://ufcstats.com/fight-details/cd137988da724076
UFC Fight Night: Strickland vs. Magomedov,Nursulton Ruziboev vs. Brunno Ferreira,http://ufcstats.com/fight-details/288f7fb936c1523c
UFC Fight Night: Strickland vs. Magomedov,Rinat Fakhretdinov vs. Kevin Lee,http://ufcstats.com/fight-details/962e74250884e4c1
UFC Fight Night: Strickland vs. Magomedov,Joanderson Brito vs. Westin Wilson,http://ufcstats.com/fight-details/f5a6acc99bc5c634
UFC Fight Night: Strickland vs. Magomedov,Karol Rosa vs. Yana Santos,http://ufcstats.com/fight-details/fe370c518cf7873e
UFC Fight Night: Strickland vs. Magomedov,Elves Brener vs. Guram Kutateladze,http://ufcstats.com/fight-details/454265014520a3f8
UFC Fight Night: Strickland vs. Magomedov,Luana Carolina vs. Ivana Petrovic,http://ufcstats.com/fight-details/dffc65202afb881d
UFC Fight Night: Strickland vs. Magomedov,Alexandr Romanov vs. Blagoy Ivanov,http://ufcstats.com/fight-details/bd2e14ee959f9b77
UFC Fight Night: Emmett vs. Topuria,Ilia Topuria vs. Josh Emmett,http://ufcstats.com/fight-details/c3ef3cb03edde8bb
UFC Fight Night: Emmett vs. Topuria,Maycee Barber vs. Amanda Ribas,http://ufcstats.com/fight-details/07cb64236ae7aaea
UFC Fight Night: Emmett vs. Topuria,Austen Lane vs. Justin Tafa,http://ufcstats.com/fight-details/2874ea5d2f783e23
UFC Fight Night: Emmett vs. Topuria,David Onama vs. Gabriel Santos,http://ufcstats.com/fight-details/582806c33ce6dcf6
UFC Fight Night: Emmett vs. Topuria,Brendan Allen vs. Bruno Silva,http://ufcstats.com/fight-details/9124740fe7816d70
UFC Fight Night: Emmett vs. Topuria,Neil Magny vs. Phil Rowe,http://ufcstats.com/fight-details/ced01368259428f5
UFC Fight Night: Emmett vs. Topuria,Randy Brown vs. Wellington Turman,http://ufcstats.com/fight-details/42922bab8a3e1828
UFC Fight Night: Emmett vs. Topuria,Mateusz Rebecki vs. Loik Radzhabov,http://ufcstats.com/fight-details/8b296724a6844865
UFC Fight Night: Emmett vs. Topuria,Tabatha Ricci vs. Gillian Robertson,http://ufcstats.com/fight-details/c22de92b9d9030dc
UFC Fight Night: Emmett vs. Topuria,Joshua Van vs. Zhalgas Zhumagulov,http://ufcstats.com/fight-details/c2cdeb207cce5ceb
UFC Fight Night: Emmett vs. Topuria,Chepe Mariscal vs. Trevor Peek,http://ufcstats.com/fight-details/f18d44292036d5de
UFC Fight Night: Emmett vs. Topuria,Jack Jenkins vs. Jamall Emmers,http://ufcstats.com/fight-details/fcc1191761e365f9
UFC Fight Night: Emmett vs. Topuria,Sedriques Dumas vs. Cody Brundage,http://ufcstats.com/fight-details/7b909acede0a26eb
UFC Fight Night: Vettori vs. Cannonier,Jared Cannonier vs. Marvin Vettori,http://ufcstats.com/fight-details/175d9e1ac0725145
UFC Fight Night: Vettori vs. Cannonier,Arman Tsarukyan vs. Joaquim Silva,http://ufcstats.com/fight-details/6c2199524d762b11
UFC Fight Night: Vettori vs. Cannonier,Armen Petrosyan vs. Christian Leroy Duncan,http://ufcstats.com/fight-details/5d9b84493f1ed114
UFC Fight Night: Vettori vs. Cannonier,Pat Sabatini vs. Lucas Almeida,http://ufcstats.com/fight-details/76fd6919d828d5c2
UFC Fight Night: Vettori vs. Cannonier,Manuel Torres vs. Nikolas Motta,http://ufcstats.com/fight-details/98458778348ea5d7
UFC Fight Night: Vettori vs. Cannonier,Nicolas Dalby vs. Muslim Salikhov,http://ufcstats.com/fight-details/870672b1b443311e
UFC Fight Night: Vettori vs. Cannonier,Alessandro Costa vs. Jimmy Flick,http://ufcstats.com/fight-details/bc1be168c064f028
UFC Fight Night: Vettori vs. Cannonier,Kyung Ho Kang vs. Cristian Quinonez,http://ufcstats.com/fight-details/7ba54a10f28c9496
UFC Fight Night: Vettori vs. Cannonier,Carlos Hernandez vs. Denys Bondar,http://ufcstats.com/fight-details/8ea12c7360fa0f6b
