EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 201: Lawler vs. Woodley ,Robbie Lawler vs. Tyron Woodley,L/W,UFC Welterweight Title Bout,KO/TKO ,1,2:12,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/c67e5fec8e1876f0
UFC 201: Lawler vs. Woodley ,Rose Namajunas vs. Karolina Kowalkiewicz,L/W,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Blake Grice,Chris Lee 29 - 28.Ken Coffey 28 - 29.Jeff Mullen 28 - 29.,http://ufcstats.com/fight-details/7f3763caa99a3486
UFC 201: Lawler vs. Woodley ,Matt Brown vs. Jake Ellenberger,L/W,Welterweight Bout,KO/TKO ,1,1:46,3 Rnd (5-5-5),Marc Goddard,Kick to Body At Distance ,http://ufcstats.com/fight-details/82d057278298846f
UFC 201: Lawler vs. Woodley ,Francisco Rivera vs. Erik Perez,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),George Allen,Jon Marigliano 26 - 30.Chris Lee 26 - 30.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/3cf1d67a20ae1c18
UFC 201: Lawler vs. Woodley ,Ryan Benoit vs. Fredy Serrano,W/L,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Blake Grice,Chris Lee 29 - 28.James Corbett 28 - 29.Ken Coffey 28 - 29.,http://ufcstats.com/fight-details/c8f946610906bffe
UFC 201: Lawler vs. Woodley ,Nikita Krylov vs. Ed Herman,W/L,Light Heavyweight Bout,KO/TKO ,2,0:40,3 Rnd (5-5-5),Marc Goddard,Kick to Head At Distance ,http://ufcstats.com/fight-details/ae6fb7829db7ecc7
UFC 201: Lawler vs. Woodley ,Ross Pearson vs. Jorge Masvidal,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Jon Marigliano 28 - 29.Ken Coffey 28 - 29.Jeff Mullen 27 - 30.,http://ufcstats.com/fight-details/806ee07a1a7042b8
UFC 201: Lawler vs. Woodley ,Anthony Hamilton vs. Damian Grabowski,W/L,Heavyweight Bout,KO/TKO ,1,0:14,3 Rnd (5-5-5),George Allen,Punches to Head At Distance ,http://ufcstats.com/fight-details/8495283a56311b4d
UFC 201: Lawler vs. Woodley ,Wilson Reis vs. Hector Sandoval,W/L,Flyweight Bout,Submission ,1,1:49,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke ,http://ufcstats.com/fight-details/8b61a3acdfb007d9
UFC 201: Lawler vs. Woodley ,Michael Graves vs. Bojan Velickovic,D/D,Welterweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),George Allen,James Corbett 27 - 30.Derek Cleary 28 - 28.Jeff Mullen 28 - 28.,http://ufcstats.com/fight-details/855338a9a68e4c9f
UFC 201: Lawler vs. Woodley ,Cesar Arzamendia vs. Damien Brown,L/W,Lightweight Bout,KO/TKO ,1,2:27,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/09c092dc766fa3f9
UFC on FOX: Holm vs. Shevchenko ,Holly Holm vs. Valentina Shevchenko,L/W,Women's Bantamweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Robert Madrigal,Sal D'amato 46 - 49.Brian Puccillo 46 - 49.Rick Winter 46 - 49.,http://ufcstats.com/fight-details/9e90800495c1d607
UFC on FOX: Holm vs. Shevchenko ,Edson Barboza vs. Gilbert Melendez,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Rick Winter 27 - 30.Sal D'amato 27 - 30.Brian Puccillo 28 - 29.,http://ufcstats.com/fight-details/b1dee00c3052e65e
UFC on FOX: Holm vs. Shevchenko ,Francis Ngannou vs. Bojan Mihajlovic,W/L,Heavyweight Bout,KO/TKO ,1,1:34,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/9d2f46b677246e41
UFC on FOX: Holm vs. Shevchenko ,Felice Herrig vs. Kailin Curran,W/L,Women's Strawweight Bout,Submission ,1,1:59,3 Rnd (5-5-5),John McCarthy,Rear Naked Choke ,http://ufcstats.com/fight-details/5a09a7a3f2792d1a
UFC on FOX: Holm vs. Shevchenko ,Frankie Saenz vs. Eddie Wineland,L/W,Bantamweight Bout,KO/TKO ,3,1:54,3 Rnd (5-5-5),Robert Madrigal,Punches to Head At Distance ,http://ufcstats.com/fight-details/8167500af262bba5
UFC on FOX: Holm vs. Shevchenko ,Darren Elkins vs. Godofredo Pepey,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Gabriel Sabaitis 27 - 29.Rick Winter 27 - 29.Brandon Mason 26 - 30.,http://ufcstats.com/fight-details/1eb0491642f276ed
UFC on FOX: Holm vs. Shevchenko ,Kamaru Usman vs. Alexander Yakovlev,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Gabriel Sabaitis 25 - 30.Brandon Mason 25 - 30.Rick Winter 25 - 30.,http://ufcstats.com/fight-details/e09d17f97d6fc6b8
UFC on FOX: Holm vs. Shevchenko ,Michel Prazeres vs. JC Cottrell,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Robert Madrigal,Brandon Mason 26 - 30.Sal D'amato 27 - 30.Brian Puccillo 27 - 30.,http://ufcstats.com/fight-details/adb86e0206cba97d
UFC on FOX: Holm vs. Shevchenko ,Alex Oliveira vs. James Moontasri,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Brian Puccillo 26 - 30.Brandon Mason 26 - 30.Sal D'amato 25 - 30.,http://ufcstats.com/fight-details/3aace29fcc65ec51
UFC on FOX: Holm vs. Shevchenko ,Jim Alers vs. Jason Knight,L/W,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),John McCarthy,Gabriel Sabaitis 28 - 29.Rick Winter 29 - 28.Matt Janecek 28 - 29.,http://ufcstats.com/fight-details/435c93cb89016fd1
UFC on FOX: Holm vs. Shevchenko ,Luis Henrique vs. Dmitrii Smoliakov,W/L,Heavyweight Bout,Submission ,2,3:58,3 Rnd (5-5-5),Robert Madrigal,Rear Naked Choke ,http://ufcstats.com/fight-details/43fbc59edc7dfa9f
UFC Fight Night: McDonald vs. Lineker ,Michael McDonald vs. John Lineker,L/W,Bantamweight Bout,KO/TKO ,1,2:43,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head In Clinch ,http://ufcstats.com/fight-details/08c6b88ac22717ed
UFC Fight Night: McDonald vs. Lineker ,Tony Ferguson vs. Lando Vannata,W/L,Lightweight Bout,Submission ,2,2:22,3 Rnd (5-5-5),John McCarthy,D'Arce Choke After Drop to Ground ,http://ufcstats.com/fight-details/824fb74f5fc34218
UFC Fight Night: McDonald vs. Lineker ,Tim Boetsch vs. Josh Samman,W/L,Middleweight Bout,KO/TKO ,2,3:49,3 Rnd (5-5-5),John McCarthy,Punches to Head From Back Control ,http://ufcstats.com/fight-details/0f73ee9121ec7539
UFC Fight Night: McDonald vs. Lineker ,Aleksei Oleinik vs. Daniel Omielanczuk,L/W,Heavyweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Shawn Ruml 28 - 28.Derek Cleary 28 - 29.Rick Winter 28 - 29.,http://ufcstats.com/fight-details/0fed8d8499eae01a
UFC Fight Night: McDonald vs. Lineker ,Kyle Noke vs. Keita Nakamura,L/W,Welterweight Bout,Submission ,2,4:59,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/bb0770ead53940f5
UFC Fight Night: McDonald vs. Lineker ,Louis Smolka vs. Ben Nguyen,W/L,Flyweight Bout,KO/TKO ,2,4:41,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Mount ,http://ufcstats.com/fight-details/a2fe63d064567d14
UFC Fight Night: McDonald vs. Lineker ,Lauren Murphy vs. Katlyn Cerminara,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Sal D'amato 28 - 29.Jeff Mullen 28 - 29.Shawn Ruml 28 - 29.,http://ufcstats.com/fight-details/ee46c069ebe691ff
UFC Fight Night: McDonald vs. Lineker ,Eric Spicely vs. Sam Alvey,L/W,Middleweight Bout,Submission ,1,2:43,3 Rnd (5-5-5),John McCarthy,Guillotine Choke Standing ,http://ufcstats.com/fight-details/2ef96a4eb306fbb4
UFC Fight Night: McDonald vs. Lineker ,Cortney Casey vs. Cristina Stanciu,W/L,Women's Strawweight Bout,KO/TKO ,1,2:36,3 Rnd (5-5-5),BobbyWombacher,Elbows to Head From Mount ,http://ufcstats.com/fight-details/2d205cc1da2e7930
UFC Fight Night: McDonald vs. Lineker ,Scott Holtzman vs. Cody Pfister,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Tom Allstot 27 - 30.Derek Cleary 27 - 30.Rick Winter 28 - 29.,http://ufcstats.com/fight-details/5b6451f3f83c719c
UFC Fight Night: McDonald vs. Lineker ,Rani Yahya vs. Matthew Lopez,W/L,Bantamweight Bout,Submission ,3,4:19,3 Rnd (5-5-5),BobbyWombacher,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/df661c70c40adf84
UFC Fight Night: McDonald vs. Lineker ,Devin Clark vs. Alex Nicholson,L/W,Middleweight Bout,KO/TKO ,1,4:57,3 Rnd (5-5-5),BobbyWombacher,Punch to Head At Distance ,http://ufcstats.com/fight-details/0864112e968630ea
UFC 200: Tate vs Nunes ,Miesha Tate vs. Amanda Nunes,L/W,UFC Women's Bantamweight Title Bout,Submission ,1,3:16,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/135760b07e1fb79b
UFC 200: Tate vs Nunes ,Brock Lesnar vs. Mark Hunt,NC/NC,Heavyweight Bout,Overturned ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Failed Drug Test by LesnarLester Griffin 27 - 29.Junichiro Kamijo 27 - 29.Marcos Rosales 27 - 29.,http://ufcstats.com/fight-details/83414cc83ec3f2ac
UFC 200: Tate vs Nunes ,Daniel Cormier vs. Anderson Silva,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Sal D'amato 26 - 30.Derek Cleary 26 - 30.Glenn Trowbridge 26 - 30.,http://ufcstats.com/fight-details/424221c96ee13ceb
UFC 200: Tate vs Nunes ,Jose Aldo vs. Frankie Edgar,W/L,UFC Interim Featherweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary 46 - 49.Marcos Rosales 46 - 49.Junichiro Kamijo 47 - 48.,http://ufcstats.com/fight-details/84c5035830ebb421
UFC 200: Tate vs Nunes ,Cain Velasquez vs. Travis Browne,W/L,Heavyweight Bout,KO/TKO ,1,4:57,3 Rnd (5-5-5),John McCarthy,Punches to Head On Ground ,http://ufcstats.com/fight-details/1a66e67add5d55ef
UFC 200: Tate vs Nunes ,Cat Zingano vs. Julianna Pena,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Glenn Trowbridge 28 - 29.Chris Lee 28 - 29.Marcos Rosales 28 - 29.,http://ufcstats.com/fight-details/96c93167c982c467
UFC 200: Tate vs Nunes ,Johny Hendricks vs. Kelvin Gastelum,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato 28 - 29.Adalaide Byrd 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/8c2e4d3cc4b9e93a
UFC 200: Tate vs Nunes ,TJ Dillashaw vs. Raphael Assuncao,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30.Chris Lee 27 - 30.Jeff Mullen 27 - 30.,http://ufcstats.com/fight-details/c1f74805a4ff9396
UFC 200: Tate vs Nunes ,Sage Northcutt vs. Enrique Marin,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29.Adalaide Byrd 28 - 29.Glenn Trowbridge 28 - 29.,http://ufcstats.com/fight-details/d1aaef0d7f0c8e8b
UFC 200: Tate vs Nunes ,Diego Sanchez vs. Joe Lauzon,L/W,Lightweight Bout,KO/TKO ,1,1:26,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/9d7a798f0c20c04a
UFC 200: Tate vs Nunes ,Gegard Mousasi vs. Thiago Santos,W/L,Middleweight Bout,KO/TKO ,1,4:32,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/7679c5ee3514e119
UFC 200: Tate vs Nunes ,Jim Miller vs. Takanori Gomi,W/L,Lightweight Bout,KO/TKO ,1,2:18,3 Rnd (5-5-5),Mark Smith,Punches to Head From Back Control ,http://ufcstats.com/fight-details/433e3fd8782b6e0e
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Joanna Jedrzejczyk vs. Claudia Gadelha,W/L,UFC Women's Strawweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Dave Hagen 45 - 48.Jeff Mullen 46 - 48.Marcos Rosales 46 - 48.,http://ufcstats.com/fight-details/6ab9d2d334f613c8
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Andrew Sanchez vs. Khalil Rountree Jr.,W/L,Ultimate Fighter 23 Light Heavyweight Tournament Title Bout,Decision - Unanimous ,3,5:00,3 Rnd + OT (5-5-5-5),Herb Dean,Derek Cleary 25 - 30.Sal D'amato 25 - 30.Chris Lee 26 - 30.,http://ufcstats.com/fight-details/9fc85aef42733a16
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Tatiana Suarez vs. Amanda Cooper,W/L,Ultimate Fighter 23 Women's Strawweight Tournament Title Bout,Submission ,1,3:43,3 Rnd + OT (5-5-5-5),John McCarthy,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/f8b9b5ee3d4a8ac3
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Ross Pearson vs. Will Brooks,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Patricia Morse-Jarman 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/1299f04f429bcc0e
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Dooho Choi vs. Thiago Tavares,W/L,Featherweight Bout,KO/TKO ,1,2:42,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/febbd4eb209b4579
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Joaquim Silva vs. Andrew Holbrook,W/L,Lightweight Bout,KO/TKO ,1,0:34,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head On Ground ,http://ufcstats.com/fight-details/6c4b3cca92fcb9c7
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Gray Maynard vs. Fernando Bruno,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Patricia Morse-Jarman 27 - 30.Glenn Trowbridge 27 - 30.Marcos Rosales 27 - 30.,http://ufcstats.com/fight-details/36388dce4a8cc18f
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,John Moraga vs. Matheus Nicolau,L/W,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Lester Griffin 28 - 29.Jeff Mullen 29 - 28.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/9275134accfb1adc
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Cory Hendricks vs. Josh Stansbury,L/W,Light Heavyweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 27 - 29.Patricia Morse-Jarman 27 - 29.Dave Hagen 28 - 28.,http://ufcstats.com/fight-details/f990e8b2a08053db
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Cezar Ferreira vs. Anthony Smith,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Glenn Trowbridge 28 - 29.Lester Griffin 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/0c703bf17c04fee4
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Jake Matthews vs. Kevin Lee,L/W,Lightweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control ,http://ufcstats.com/fight-details/b319a24919106555
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale ,Li Jingliang vs. Anton Zafir,W/L,Welterweight Bout,KO/TKO ,1,2:46,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Guard ,http://ufcstats.com/fight-details/b3b5bd50fa34342c
UFC Fight Night: Dos Anjos vs. Alvarez ,Rafael Dos Anjos vs. Eddie Alvarez,L/W,UFC Lightweight Title Bout,KO/TKO ,1,3:49,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head In Clinch ,http://ufcstats.com/fight-details/bb9020ac324fb706
UFC Fight Night: Dos Anjos vs. Alvarez ,Roy Nelson vs. Derrick Lewis,L/W,Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),John McCarthy,Dave Hagen 28 - 29.Adalaide Byrd 29 - 28.Glenn Trowbridge 28 - 29.,http://ufcstats.com/fight-details/9a984ea967886979
UFC Fight Night: Dos Anjos vs. Alvarez ,Alan Jouban vs. Belal Muhammad,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 28.Tony Weeks 28 - 29.Derek Cleary 27 - 29.,http://ufcstats.com/fight-details/420f4e4dc341eb57
UFC Fight Night: Dos Anjos vs. Alvarez ,Joe Duffy vs. Mitch Clarke,W/L,Lightweight Bout,Submission ,1,0:25,3 Rnd (5-5-5),John McCarthy,Rear Naked Choke ,http://ufcstats.com/fight-details/d39010c3511fb972
UFC Fight Night: Dos Anjos vs. Alvarez ,Mike Pyle vs. Alberto Mina,L/W,Welterweight Bout,KO/TKO ,2,1:17,3 Rnd (5-5-5),Jason Herzog,Flying Knee Head ,http://ufcstats.com/fight-details/d18b33bdd37f4683
UFC Fight Night: Dos Anjos vs. Alvarez ,John Makdessi vs. Mehdi Baghdad,W/L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 28 - 29.Sal D'amato 29 - 28.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/5e13fbe15c887a33
UFC Fight Night: Dos Anjos vs. Alvarez ,Anthony Birchak vs. Dileno Lopes,W/L,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Lester Griffin 30 - 27.Patricia Morse-Jarman 28 - 29.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/95a0d706e1f4cfa2
UFC Fight Night: Dos Anjos vs. Alvarez ,Russell Doane vs. Pedro Munhoz,L/W,Bantamweight Bout,Submission ,1,2:08,3 Rnd (5-5-5),Mark Smith,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/a815119606930378
UFC Fight Night: Dos Anjos vs. Alvarez ,Felipe Arantes vs. Jerrod Sanders,W/L,Bantamweight Bout,Submission ,2,1:39,3 Rnd (5-5-5),Chris Tognoni,Armbar From Bottom Guard ,http://ufcstats.com/fight-details/509519d82e906c0f
UFC Fight Night: Dos Anjos vs. Alvarez ,Gilbert Burns vs. Lukasz Sajewski,W/L,Lightweight Bout,Submission ,1,4:57,3 Rnd (5-5-5),Jason Herzog,Armbar From Back Control ,http://ufcstats.com/fight-details/e71a155192ff2f6c
UFC Fight Night: Dos Anjos vs. Alvarez ,Marco Beltran vs. Reginaldo Vieira,W/L,Bantamweight Bout,Submission ,2,3:04,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/5cf03fdfe557803f
UFC Fight Night: Dos Anjos vs. Alvarez ,Vicente Luque vs. Alvaro Herrera Mendoza,W/L,Welterweight Bout,Submission ,2,3:52,3 Rnd (5-5-5),Chris Tognoni,D'Arce Choke From Half Guard ,http://ufcstats.com/fight-details/caf3ca7fc0195412
UFC Fight Night: MacDonald vs Thompson ,Rory MacDonald vs. Stephen Thompson,L/W,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Chris Lee 45 - 50.David Therien 45 - 50.Sal D'amato 47 - 48.,http://ufcstats.com/fight-details/75e21e2f5f3be42e
UFC Fight Night: MacDonald vs Thompson ,Donald Cerrone vs. Patrick Cote,W/L,Welterweight Bout,KO/TKO ,3,2:35,3 Rnd (5-5-5),Yves Lavigne,Punches to Head At Distance ,http://ufcstats.com/fight-details/4b8c8ae61251ff83
UFC Fight Night: MacDonald vs Thompson ,Steve Bosse vs. Sean O'Connell,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 28 - 29.David Therien 28 - 29.Sal D'amato 27 - 29.,http://ufcstats.com/fight-details/ad61d042c43451a8
UFC Fight Night: MacDonald vs Thompson ,Olivier Aubin-Mercier vs. Thibault Gouti,W/L,Lightweight Bout,Submission ,3,2:28,3 Rnd (5-5-5),Yves Lavigne,Rear Naked Choke ,http://ufcstats.com/fight-details/c69c5830064fd591
UFC Fight Night: MacDonald vs Thompson ,Valerie Letourneau vs. Joanne Wood,L/W,Women's Flyweight Bout,KO/TKO ,3,2:44,3 Rnd (5-5-5),Jerin Valel,Kick to Body At Distance ,http://ufcstats.com/fight-details/fe6da751f2a4859a
UFC Fight Night: MacDonald vs Thompson ,Jason Saggo vs. Leandro Silva,W/L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),John McCarthy,Pasquale Procopio 28 - 29.David Therien 29 - 28.Doug Crosby 28 - 29.,http://ufcstats.com/fight-details/2e11087e1a4f066b
UFC Fight Night: MacDonald vs Thompson ,Misha Cirkunov vs. Ion Cutelaba,W/L,Light Heavyweight Bout,Submission ,3,1:22,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/911e151d1907197d
UFC Fight Night: MacDonald vs Thompson ,Tamdan McCrory vs. Krzysztof Jotko,L/W,Middleweight Bout,KO/TKO ,1,0:59,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance ,http://ufcstats.com/fight-details/68a93f8eb34f3251
UFC Fight Night: MacDonald vs Thompson ,Chris Beal vs. Joe Soto,L/W,Bantamweight Bout,Submission ,3,3:39,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke ,http://ufcstats.com/fight-details/4cf7792aef993be1
UFC Fight Night: MacDonald vs Thompson ,Elias Theodorou vs. Sam Alvey,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Sal D'amato 28 - 29.David Therien 27 - 30.Graham Bettes 27 - 30.,http://ufcstats.com/fight-details/b2039609019496d9
UFC Fight Night: MacDonald vs Thompson ,Randa Markos vs. Jocelyn Jones-Lybarger,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Graham Bettes 27 - 30.Sal D'amato 28 - 29.David Therien 28 - 29.,http://ufcstats.com/fight-details/afd53c8033f6ee82
UFC Fight Night: MacDonald vs Thompson ,Colby Covington vs. Jonathan Meunier,W/L,Welterweight Bout,Submission ,3,0:54,3 Rnd (5-5-5),Yves Lavigne,Rear Naked Choke ,http://ufcstats.com/fight-details/315b6e91a0239148
UFC Fight Night: MacDonald vs Thompson ,Ali Bagautinov vs. Geane Herrera,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Brian Beauchamp 27 - 30.Doug Crosby 27 - 30.Pasquale Procopio 27 - 30.,http://ufcstats.com/fight-details/f8b32aeb9b628d89
UFC 199: Rockhold vs. Bisping 2 ,Luke Rockhold vs. Michael Bisping,L/W,UFC Middleweight Title Bout,KO/TKO ,1,3:36,5 Rnd (5-5-5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/812ff38f0ed409ca
UFC 199: Rockhold vs. Bisping 2 ,Dominick Cruz vs. Urijah Faber,W/L,UFC Bantamweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Ron McCarthy 45 - 50.Jeff Mullen 45 - 50.Wade Vierra 46 - 49.,http://ufcstats.com/fight-details/9c884cbc3791bf60
UFC 199: Rockhold vs. Bisping 2 ,Max Holloway vs. Ricardo Lamas,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Mike Bell 27 - 30.Derek Cleary 27 - 30.Wade Vierra 27 - 30.,http://ufcstats.com/fight-details/345b1bc51f0f5e86
UFC 199: Rockhold vs. Bisping 2 ,Dan Henderson vs. Hector Lombard,W/L,Middleweight Bout,KO/TKO ,2,1:27,3 Rnd (5-5-5),Herb Dean,Elbow to Head In Clinch ,http://ufcstats.com/fight-details/c33cc8b85b9a202c
UFC 199: Rockhold vs. Bisping 2 ,Dustin Poirier vs. King Green,W/L,Lightweight Bout,KO/TKO ,1,2:53,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/e86a77b69d50a834
UFC 199: Rockhold vs. Bisping 2 ,Brian Ortega vs. Clay Guida,W/L,Featherweight Bout,KO/TKO ,3,4:40,3 Rnd (5-5-5),Herb Dean,Knee to Head At Distance ,http://ufcstats.com/fight-details/db1be0ca226d3a2f
UFC 199: Rockhold vs. Bisping 2 ,Beneil Dariush vs. James Vick,W/L,Lightweight Bout,KO/TKO ,1,4:16,3 Rnd (5-5-5),Mike Beltran,Punch to Head In Clinch ,http://ufcstats.com/fight-details/2c65d5d20cc893e4
UFC 199: Rockhold vs. Bisping 2 ,Jessica Penne vs. Jessica Andrade,L/W,Women's Strawweight Bout,KO/TKO ,2,2:56,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/e06f96f3484ad74a
UFC 199: Rockhold vs. Bisping 2 ,Cole Miller vs. Alex Caceres,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Mike Bell 28 - 29.Wade Vierra 28 - 29.Jeff Mullen 27 - 30.,http://ufcstats.com/fight-details/5b55a8e33199d71e
UFC 199: Rockhold vs. Bisping 2 ,Sean Strickland vs. Tom Breese,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Jeff Mullen 28 - 29.Mike Bell 29 - 28.Wade Vierra 28 - 29.,http://ufcstats.com/fight-details/3e020d62796a7ce3
UFC 199: Rockhold vs. Bisping 2 ,Jonathan Wilson vs. Henrique da Silva,L/W,Light Heavyweight Bout,KO/TKO ,2,4:11,3 Rnd (5-5-5),Mike Beltran,Punches to Head From Mount ,http://ufcstats.com/fight-details/5e794b8ef52c88cb
